Player,Team,Position
"Lamar Jackson","BAL","QB"
"Jonnu Smith","MIA","TE"
"Michael Penix","ATL","QB"
"DeAndre Hopkins","BAL","WR"
"Josh Downs","IND","WR"
"Jake Ferguson","DAL","TE"
"Wan'Dale Robinson","NYG","WR"
"Keenan Allen","-","WR"
"Isaiah Likely","BAL","TE"
"Sam Darnold","SEA","QB"
"Dalton Schultz","HOU","TE"
"Braelon Allen","NYJ","RB"
"Romeo Doubs","GB","WR"
"Geno Smith","LV","QB"
"Jaylen Wright","MIA","RB"
"Ray Davis","BUF","RB"
"Matthew Stafford","LAR","QB"
"Rashod Bateman","BAL","WR"
"Hunter Henry","NE","TE"
"Quentin Johnston","LAC","WR"
"Dontayvion Wicks","GB","WR"
"Marvin Mims","DEN","WR"
"Alec Pierce","IND","WR"
"Cade Otton","TB","TE"
"Mike Gesicki","CIN","TE"
"Cameron Ward","TEN","QB"
"Adonai Mitchell","IND","WR"
"Justice Hill","BAL","RB"
"Jalen Tolbert","DAL","WR"
"Rico Dowdle","CAR","RB"
"Tua Tagovailoa","MIA","QB"
"Joe Flacco","CLE","QB"
"Bryce Young","CAR","QB"
"Andrei Iosivas","CIN","WR"
"Ja'Tavion Sanders","CAR","TE"
"Juwan Johnson","NO","TE"
"Jalen McMillan","TB","WR"
"Brenton Strange","JAX","TE"
"Roschon Johnson","CHI","RB"
"Amari Cooper","-","WR"
"Terrance Ferguson","LAR","TE"
"Anthony Richardson","IND","QB"
"Michael Wilson","ARI","WR"
"Zach Ertz","WAS","TE"
"Christian Kirk","HOU","WR"
"Luther Burden","CHI","WR"
"Kyle Williams","NE","WR"
"Jaxson Dart","NYG","QB"
"Cedric Tillman","CLE","WR"
"Joshua Palmer","BUF","WR"
"Tre Harris","LAC","WR"
"Jarquez Hunter","LAR","RB"
"Roman Wilson","PIT","WR"
"Pat Bryant","DEN","WR"
"Dylan Sampson","CLE","RB"
"DJ Giddens","IND","RB"
"MarShawn Lloyd","GB","RB"
"Nick Chubb","HOU","RB"
"Jordan James","SF","RB"
"Devin Neal","NO","RB"
"Elic Ayomanor","TEN","WR"
"Trevor Etienne","CAR","RB"
"Brashard Smith","KC","RB"
"Ollie Gordon II","MIA","RB"
"Mason Taylor","NYJ","TE"
"Jalen Royals","KC","WR"
"Kyle Monangai","CHI","RB"
