Player,Value
Ja'Marr Chase,105.0890129
Saquon Barkley,102.1787317
Jahmyr Gibbs,99.34904637
Justin Jefferson,96.59772485
CeeDee Lamb,93.92259702
Bijan Robinson,91.3215528
Puka Nacua,88.79254057
Malik Nabers,86.33356551
Amon-Ra St. Brown,83.94268804
Christian McCaffrey,81.61802231
Derrick Henry,79.35773467
Ashton Jeanty,77.16004228
Drake London,75.02321166
Nico Collins,72.94555733
Brian Thomas,70.92544049
Devon Achane,68.96126773
Brock Bowers,67.05148976
A.J. Brown,65.1946002
Ladd McConkey,63.3891344
Rashee Rice,61.63366823
Bucky Irving,59.92681704
Tyreek Hill,58.26723452
Jonathan Taylor,56.65361162
Tee Higgins,55.08467557
Josh Jacobs,53.55918882
Jaxon Smith-Njigba,52.07594813
Kyren Williams,50.63378354
Trey McBride,49.23155751
Marvin Harrison,47.86816402
Chase Brown,46.54252764
Garrett Wilson,45.25360276
Davante Adams,44.00037271
Lamar Jackson,42.78184896
Terry McLaurin,41.59707038
Josh Allen,40.44510246
Breece Hall,39.32503654
Omarion Hampton,38.23598916
Mike Evans,37.17710129
Alvin Kamara,36.14753772
Jayden Daniels,35.14648636
Tetairoa McMillan,34.1731576
DJ Moore,33.2267837
George Kittle,32.3066182
DK Metcalf,31.41193529
Rome Odunze,30.54202927
Xavier Worthy,29.69621398
Chris Godwin,28.87382227
DeVonta Smith,28.07420545
Travis Hunter,27.29673281
Jameson Williams,26.54079109
Courtland Sutton,25.80578404
Chuba Hubbard,25.0911319
Jalen Hurts,24.39627097
George Pickens,23.72065315
Jordan Addison,23.06374556
TreVeyon Henderson,22.42503002
James Cook,21.80400274
Zay Flowers,21.20017388
Jauan Jennings,20.61306714
Kenneth Walker,20.04221943
Joe Mixon,19.48718049
Quinshon Judkins,18.94751251
RJ Harvey,18.42278982
Calvin Ridley,17.91259853
James Conner,17.41653622
Chris Olave,16.9342116
Joe Burrow,16.46524423
Kaleb Johnson,16.00926421
Jerry Jeudy,15.56591186
Sam LaPorta,15.13483748
David Montgomery,14.71570106
Jaylen Waddle,14.30817198
D'Andre Swift,13.91192881
Jayden Reed,13.52665899
Ricky Pearsall,13.15205864
Aaron Jones,12.78783227
Patrick Mahomes,12.43369261
Jakobi Meyers,12.0893603
Baker Mayfield,11.75456376
Darnell Mooney,11.4290389
Brian Robinson,11.11252896
T.J. Hockenson,10.80478429
Deebo Samuel,10.50556213
Kyler Murray,10.21462649
Tony Pollard,9.931747862
Cam Skattebo,9.656703132
Khalil Shakir,9.38927535
Michael Pittman,9.129253576
Matthew Golden,8.876432711
Travis Kelce,8.630613338
Jonnu Smith,8.39160156
Stefon Diggs,8.159208852
Brock Purdy,7.933251908
Isiah Pacheco,7.7135525
Evan Engram,7.499937334
David Njoku,7.292237918
Bo Nix,7.090290422
Mark Andrews,6.893935557
Brandon Aiyuk,6.703018443
Cooper Kupp,6.517388489
Emeka Egbuka,6.336899276
Jordan Mason,6.161408439
Tyler Warren,5.990777555
Caleb Williams,5.824872035
Drake Maye,5.663561017
Tyjae Spears,5.506717264
Tyrone Tracy,5.354217061
Najee Harris,5.205940121
Travis Etienne,5.061769486
Rashid Shaheed,4.921591439
Bhayshul Tuten,4.785295411
Justin Fields,4.652773895
Rachaad White,4.523922362
Zach Charbonnet,4.398639177
Jaydon Blue,4.27682552
Jared Goff,4.158385309
Dak Prescott,4.043225119
Jaylen Warren,3.931254117
Keon Coleman,3.822383983
Jayden Higgins,3.716528842
Jordan Love,3.613605199
Trevor Lawrence,3.513531871
Justin Herbert,3.416229922
C.J. Stroud,3.321622603
Rhamondre Stevenson,3.229635291
Javonte Williams,3.140195428
Austin Ekeler,3.053232467
J.K. Dobbins,2.968677813
Tank Bigsby,2.886464773
Dalton Kincaid,2.806528499
Colston Loveland,2.728805938
Tucker Kraft,2.653235787
Trey Benson,2.579758436
Jack Bech,2.50831593
Kyle Pitts,2.438851915
Dallas Goedert,2.371311601
Marquise Brown,2.305641715
Pat Freiermuth,2.241790456
Adam Thielen,2.179707461
Isaac Guerendo,2.119343761
Xavier Legette,2.060651742
J.J. McCarthy,2.00358511
Tyler Allgeier,1.948098852
Tyler Allgeier,1.894149202
